Filename	Shot Date	Category	Keywords
1672502133383.jpg	2019-03-21 20:03:12	family	은옥,강화도
1676648600947.jpg	2019-12-04 19:17:20	family	은옥,강화도
IMG_20220404_173857.jpg	2022-04-04 17:38:57	family	창극
IMG_20220404_173907.jpg	2022-04-04 17:39:07	family	창극
404222362.jpg	2022-04-12 04:07:44	family	지안
1653065581847.jpg	2022-05-21 10:53:02	family	창극,임진각
1653708180977.jpg	2022-05-27 19:32:52	family	지안
1653960448331.jpg	2022-05-27 19:34:39	family	지안
146132676.jpg	2022-05-28 21:29:01	family	지암
1662865912550.jpg	2022-09-11 21:11:52	family	지안
IMG_20221012_155757.jpg	2022-10-12 15:57:57	family	천안공원
IMG_20221012_155810.jpg	2022-10-12 15:58:10	family	천안공원
IMG_20221105_174715.jpg	2022-11-05 17:47:15	family	창극
IMG_20221105_174728.jpg	2022-11-05 17:47:28	family	창극
IMG_20221105_191903.jpg	2022-11-05 19:19:03	family	시위현장
IMG_20221105_191908.jpg	2022-11-05 19:19:08	family	시위현장
IMG_20221105_191921.jpg	2022-11-05 19:19:21	family	시위현장
IMG_20221105_192701.jpg	2022-11-05 19:27:01	family	시위현장
IMG_20221228_162458.jpg	2022-12-28 16:24:58	family	봄이
1672210469929.jpg	2022-12-29 00:54:30	family	천안공원
IMG_20230102_131143.jpg	2023-01-02 13:11:43	family	봄이
IMG_20230111_155223.jpg	2023-01-11 15:52:22	family	지안
IMG_20230111_155226.jpg	2023-01-11 15:52:26	family	지안
IMG_20230127_145244.jpg	2023-01-27 14:52:44	family	봉서산
IMG_20230127_145310.jpg	2023-01-27 14:53:10	family	봉서산
pixelcut-export-1674832541643.png	2023-01-28 09:15:41	family	서연,우리,두리,
Luminate_1674904635467.png	2023-01-29 05:17:15	family	창극
Luminate_1674905105774.png	2023-01-29 05:25:05	family	은옥,혜정결혼식장에서
Luminate_1674907094369.png	2023-01-29 05:58:14	family	은옥,강화
Luminate_1674908856119.png	2023-01-29 06:27:36	family	은옥,연희동
Luminate_1675683436643.png	2023-02-07 05:37:16	family	엄마와
Luminate_1676005200807.png	2023-02-10 23:00:00	family	창극 군입대직전
Luminate_1676005539471.png	2023-02-10 23:05:39	family	창극
Luminate_1676046229106.png	2023-02-11 10:23:49	family	사진편집
pixelcut-export-1676046996709.png	2023-02-11 10:36:36	family	사진편집
pixelcut-export-1676221582050.png	2023-02-13 11:06:22	family	사진편집
1676221786431.png	2023-02-13 11:09:46	family	창극,은옥
Luminate_1676223549319.png	2023-02-13 11:39:09	family	설악산,장군봉
